Layer,Name,GEOID,Population,PCT-I_2019-2023,PCT-C_2019-2023,PCT-S_2019-2023
(Indicator name),,,,"Demographics, 0-4 years (% of residents), 2019-2023","Demographics, 0-17 years (% of residents), 2019-2023","Demographics, 65 and older (% of residents), 2019-2023"
(Definition),,,,"Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns."
(Citation),,,,"American Community Survey (Table B01001)","American Community Survey (Table B01001)","American Community Survey (Table B01001)"
---,---,---,---,---,---,---
Census tract,Tract 301.04,17031030104,3521,0.7056748015289621,4.4692737430167595,12.672743310790944
Census tract,Tract 302,17031030200,5627,6.231936416184971,12.626445086705202,12.86127167630058
Census tract,Tract 303,17031030300,3148,3.51728320194057,10.97634930260764,14.251061249241964
Census tract,Tract 304,17031030400,2597,4.45993031358885,17.00348432055749,12.125435540069686
Census tract,Tract 305,17031030500,6183,5.140549774809753,12.688305637521356,9.473520733033078
Census tract,Tract 306.01,17031030601,3293,7.351380042462845,17.940552016985137,12.791932059447984
Census tract,Tract 306.03,17031030603,2045,5.085529357374018,13.176144244105409,9.338881183541378
Census tract,Tract 306.04,17031030604,3737,0.4296455424274973,5.442176870748299,23.809523809523807
Census tract,Tract 307.01,17031030701,1671,1.9672131147540983,8.786885245901638,13.442622950819672
Census tract,Tract 307.02,17031030702,2318,0.6815084052703316,8.041799182189914,27.260336210813268
Census tract,Tract 307.03,17031030703,3075,2.4342745861733204,7.205452775073027,26.64719246997728
Census tract,Tract 307.06,17031030706,2933,0.6458966565349544,3.229483282674772,30.015197568389056
Census tract,Tract 308,17031030800,4284,5.540417801998183,14.645776566757492,15.440508628519527
Census tract,Tract 309,17031030900,2952,3.225806451612903,12.533602150537634,9.576612903225806
Census tract,Tract 310,17031031000,3868,4.845930998156439,8.085330524097973,6.821174611535423
Census tract,Tract 311,17031031100,4691,3.1708874228559267,7.916577995318152,10.214939348797616
Census tract,Tract 312,17031031200,5541,2.3349571644548965,11.926759616999831,8.029564925247774
Census tract,Tract 313,17031031300,6719,3.0843443940944306,7.396579447449203,28.080689957608534
Census tract,Tract 314,17031031400,5221,1.4881576189478096,4.087193460490464,18.402850555439112
Census tract,Tract 315.01,17031031501,4155,6.891556291390728,21.4817880794702,13.493377483443709
Census tract,Tract 315.02,17031031502,4712,8.509719222462204,19.37365010799136,10.971922246220302
Census tract,Tract 317,17031031700,6294,4.707607102133898,9.236031927023944,5.391757615246783
Census tract,Tract 318,17031031800,1910,6.212121212121212,11.767676767676766,8.737373737373737
Census tract,Tract 319,17031031900,2522,3.358963982193444,14.204775394577092,7.122622420072846
Census tract,Tract 321,17031032100,7543,2.007862959842741,6.248244875035103,10.348216793035665
Census tract,Tract 401,17031040100,3905,5.206463195691203,16.491408053347012,11.361887663503463
Census tract,Tract 402.01,17031040201,6408,2.886082974885528,18.03801859303455,9.671153045650062
Census tract,Tract 402.02,17031040202,7318,9.11970436848357,23.228190576745416,13.712551141612774
Census tract,Tract 403,17031040300,2928,4.925124792013311,22.196339434276208,20.033277870216303
Census tract,Tract 404.01,17031040401,3129,7.37217598097503,19.530321046373363,13.198573127229489
Census tract,Tract 404.02,17031040402,4746,4.6164772727272725,6.392045454545454,6.93655303030303
Census tract,Tract 406,17031040600,2530,5.688073394495413,13.064220183486238,10.862385321100918
Census tract,Tract 407,17031040700,3426,5.377826806398235,20.40816326530612,7.418643132928847
